Taxon,Replicate,model,converged,k,AIC,BIC,rss,sigma,r,K,O2_0,extra1,extra2,at_bounds,R_C_fg_cell_h,late_mean_sd
Arthrobacter,R3,M0,TRUE,3,-776.3167635000455,-767.1005031272288,1.0807478079951984e-4,0.0012337665951308791,0.021500942908678766,0.0019942165096640836,1.002770959100506,NA,NA,,160.45262683990597,0.09536159370294583
Arthrobacter,R3,M1,TRUE,4,-774.316264608405,-762.7959391423842,1.080755094182552e-4,0.0012425521513531,0.021497798031388314,0.0019945027940100886,1.0027780116154323,0,NA,tlag@lower,160.47566098645777,0.0945287890543807
Arthrobacter,R3,M2o,TRUE,4,-774.3515903730964,-762.8312649070756,1.0802392916303704e-4,0.0012422556049555126,0.021642320630117864,0.002028603842466371,1.0027245002214888,0.019704242957251726,NA,,159.36014689696674,0.10455853682585534
Arthrobacter,R3,M2g,TRUE,4,-774.3547195908938,-762.8343941248729,1.0801936128121711e-4,0.0012422293397713708,0.02173332135995752,0.0019883987706512916,1.0027170233282752,238.8687636987516,NA,,158.69688546399405,0.1046440600199133
Arthrobacter,R3,M3o,TRUE,5,-772.3492411496857,-758.5248505904607,1.0802735857346302e-4,0.0012512449370003578,0.021661420249638092,0.002035222606972081,1.0027278073395418,0.0232075662458005,0,tlag@lower,159.210878172064,0.10530893667304558
Arthrobacter,R3,M3g,TRUE,5,-772.3502368091591,-758.5258462499341,1.0802590509049864e-4,0.001251236519367354,0.021759257550187594,0.0019883493419342903,1.0027259725390718,207.77021882989857,0,tlag@lower,158.4991015622214,0.10588577726535449
Arthrobacter,R4,M0,TRUE,3,-1024.180758345674,-1013.8408884309916,1.5295507524289698e-4,0.0012688788057215873,0.0243928703356261,0.00158975003481593,1.0014040915828974,NA,NA,,110.10628965936625,0.12414217114434221
Arthrobacter,R4,M1,TRUE,4,-1022.1804843098871,-1009.2556469165343,1.529555029492542e-4,0.0012756120889940682,0.02439181570141419,0.0015898573180084582,1.0014078975235805,0,NA,tlag@lower,110.1137201069293,0.12420277505270096
Arthrobacter,R4,M2o,TRUE,4,-1022.1793428447597,-1009.2545054514069,1.5295728452465658e-4,0.001275619517927514,0.02439516582307636,0.0015895167381670577,1.0013965235840865,1e-6,NA,Km@lower,110.08995832685399,0.12303361730634914
Arthrobacter,R4,M2g,TRUE,4,-1022.1586336880762,-1009.2337962947233,1.529896105561031e-4,0.0012757543056831837,0.02439832775454437,0.0015895306805548347,1.0014005965087578,20276.913323589088,NA,,110.06487753768691,0.12483385375772439
