arm,r_true,K_true,R_true,noise_sd,dt,duration,r_est,K_est,O2_0_est,R_est,bias_log_r,bias_log_K,bias_log_R
none,0.01,0.005,5e-12,0.005,1,60,0.011076463890049983,0.004804331676468889,0.9967651262788711,4.804331676468889e-12,0.10223739389067443,-0.03991996887005662,0.09356155349614129
none,0.01,0.005,5e-12,0.005,1,60,0.010558627672647989,0.004877738782483103,0.997276451355548,4.877738782483103e-12,0.05435822159748794,-0.024756164200696172,0.044513667207654393
none,0.01,0.005,5e-12,0.005,1,60,0.010169132870051159,0.004952440382276242,0.9992241138089465,4.9524403822762414e-12,0.01677184991615577,-0.009557450820835365,0.01141502506550829
none,0.01,0.005,5e-12,0.005,1,60,0.01108028332134344,0.004836784670228152,0.9985591959743848,4.8367846702281515e-12,0.10258215851653278,-0.033187736799772986,0.10076739504681348
none,0.01,0.005,5e-12,0.005,1,60,0.008150704365774867,0.005352121073821927,1.0046364005067732,5.352121073821927e-12,-0.20448074422727106,0.06805503229998687,-0.16125762634392965
none,0.01,0.005,5e-12,0.005,1,60,0.011005456761372844,0.004826836276529377,0.9972914023600457,4.8268362765293765e-12,0.09580612601838098,-0.035246674597114815,0.08942996381311777
none,0.01,0.005,5e-12,0.005,1,60,0.011645047905898627,0.004709586418788755,0.9957125278477793,4.709586418788755e-12,0.15229592419370458,-0.05983781743558716,0.14414812289584258
none,0.01,0.005,5e-12,0.005,1,60,0.01169011793004777,0.00473044320112026,0.9972108585165467,4.73044320112026e-12,0.15615877055262836,-0.055419014294406974,0.15415560903151643
none,0.01,0.005,5e-12,0.005,1,60,0.009969191031269788,0.004996011528877234,1.0006775391030045,4.996011528877234e-12,-0.003085652606253424,-7.980125518875652e-4,-0.004618324674433926
none,0.01,0.005,5e-12,0.005,1,60,0.008930534823525122,0.005111105675915073,1.000050350212594,5.111105675915073e-12,-0.11310880924670229,0.02197784331028933,-0.11063583857259558
none,0.01,0.005,5e-12,0.005,1,60,0.008953425708740654,0.0051178094446065634,0.9997345077297675,5.117809444606563e-12,-0.11054887318834629,0.023288592216169378,-0.10648661989998956
none,0.01,0.005,5e-12,0.005,1,60,0.010058951977059019,0.00496161828900212,0.9994768320247381,4.96161828900212e-12,0.005877889020008999,-0.007705956967099785,-3.959118117814837e-4
none,0.01,0.005,5e-12,0.005,1,120,0.010305186653691498,0.004964653711226834,1.0004508576010662,4.964653711226834e-12,0.0300622341092788,-0.007094363345796752,0.030748781711948933
none,0.01,0.005,5e-12,0.005,1,120,0.009885360409669084,0.005034789847223517,1.0013396390202272,5.034789847223517e-12,-0.011530176776227362,0.006933874478763963,-0.007281434722269597
none,0.01,0.005,5e-12,0.005,1,120,0.009775086100729328,0.0050562295512199,1.001317511403281,5.0562295512199e-12,-0.022748178902653945,0.011183145124270084,-0.016706178385293244
none,0.01,0.005,5e-12,0.005,1,120,0.010341672962588155,0.0049101605883293134,0.9989443285369806,4.910160588329313e-12,0.03359655822009383,-0.01813126478179767,0.024236182579133486
none,0.01,0.005,5e-12,0.005,1,120,0.009826187630299724,0.005041600559507485,1.000096913426387,5.041600559507485e-12,-0.01753406414191855,0.008285690564925136,-0.013267043277909115
none,0.01,0.005,5e-12,0.005,1,120,0.010270020407975642,0.004958604574801031,0.9997388623897161,4.9586045748010305e-12,0.02664391808910522,-0.008313547005182328,0.025168983583797298
none,0.01,0.005,5e-12,0.005,1,120,0.010212159211140156,0.0049371540997143575,0.9985839745458132,4.9371540997143575e-12,0.020993996857094344,-0.012648840414933228,0.013658901766446074
none,0.01,0.005,5e-12,0.005,1,120,0.010109876664048436,0.004952733506212869,0.9975097829870285,4.95273350621287e-12,0.010927740562183777,-0.009498264795428191,0.004126441546577885
none,0.01,0.005,5e-12,0.005,1,120,0.010049681762954604,0.004982670702458636,0.9994910787824358,4.982670702458636e-12,0.00495587563202899,-0.003471879513023695,0.00268865909334712
none,0.01,0.005,5e-12,0.005,1,120,0.009474558022382739,0.005134565025851671,1.0031178495229316,5.134565025851672e-12,-0.05397498982777029,0.0265572196373259,-0.038597585587214496
none,0.01,0.005,5e-12,0.005,1,120,0.010031011402575658,0.005000630093395964,1.0002240190077614,5.000630093395964e-12,0.0030963416403476988,1.2601073950620242e-4,0.003971424658887765
none,0.01,0.005,5e-12,0.005,1,120,0.00991112884452121,0.00500997683305994,1.0001037622857551,5.00997683305994e-12,-0.008926841500488527,0.001993378512249002,-0.009026644767121
