r_true,R_true,noise_sd,dt,duration,n,sd_log_r,sd_log_K,cov_logr_logK,corr_logr_logK,var_logsum,var_logdif,ridge_ratio
0.02,2e-12,0.002,1,180,50,0.0046773310284625065,0.005375431753921506,-2.4628434188753878e-5,-0.9795471416172249,1.5158237133779695e-6,1.000295604683935e-4,65.9902332874055
0.02,2e-12,0.002,3,60,50,0.03576102769641376,0.026588068268834184,-9.171782021931115e-4,-0.964621524335994,1.514200717856367e-4,0.0038201328805580826,25.228708687750405
0.02,2e-12,0.002,3,120,50,0.007931818827145916,0.010093065892145547,-7.823950713339732e-5,-0.977305204669813,8.30471474306333e-6,3.212627432766529e-4,38.68438028470438
0.02,2e-12,0.002,3,180,50,0.006441644019171869,0.008346228727162409,-5.243230226859209e-5,-0.9752409400525386,6.28970709865961e-6,2.1601891617302796e-4,34.34482922409271
0.02,2e-12,0.002,5,60,50,0.035676111572755236,0.026532800445925167,-9.140753666967035e-4,-0.9656536829360903,1.4862370306156146e-4,0.0038049251698483743,25.601065586909346
0.02,2e-12,0.002,5,120,50,0.00909796303545364,0.011975465194936601,-1.070174224200549e-4,-0.9822407002768753,1.2149853189509197e-5,4.4021954286972855e-4,36.232498944912074
0.02,2e-12,0.002,5,180,50,0.008761452872190382,0.011079508427739256,-9.535506925793627e-5,-0.982306831803245,8.808424916086637e-6,3.9022870194783076e-4,44.301757200105605
0.02,2e-12,0.005,1,60,50,0.06594289604096674,0.0478954146417557,-0.0030877394982369486,-0.9776394084879031,4.6695728550155365e-4,0.012817915278449348,27.449866778889138
0.02,2e-12,0.005,1,120,50,0.011068794401976619,0.014015106381267581,-1.502617211338467e-4,-0.9686160024987337,1.8417974123782055e-5,6.194648586591695e-4,33.63371315954292
0.02,2e-12,0.005,1,180,50,0.010698070725279061,0.013670354996284582,-1.4284989360456305e-4,-0.9767752887300646,1.5627535758390056e-5,5.870271101766418e-4,37.56363890330443
0.02,2e-12,0.005,3,60,50,0.11194412350937179,0.07468471406171728,-0.008160114809135435,-0.9760301788200009,0.0017890636844910767,0.034429522921032824,19.244436751745237
0.02,2e-12,0.005,3,120,50,0.02065579142263024,0.02679951100666065,-5.465299625448505e-4,-0.9872912022173386,5.1815584401628785e-5,0.0022379354345810312,43.19039262849042
0.02,2e-12,0.005,3,180,50,0.025961122888251816,0.03215893786652678,-8.265903354662032e-4,-0.9900682957918772,5.499651538963596e-5,0.0033613578572544486,61.11946972349258
0.02,2e-12,0.005,5,60,50,0.15067147209961754,0.1039866654451946,-0.015307786253049877,-0.9770205671702722,0.0028995465889768996,0.0641306916011764,22.11748962578484
