model,taxon_a,taxon_b,diff_logr,se,z,p,p_holm,resolved_raw,resolved_holm
within-curve only (AR(1)-corrected),Aeromonas_A,Serratia,-0.21200833046357692,0.0020313426823962595,-104.36856976464588,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_A,Yersinia,-0.624984274276573,0.0018213347474399883,-343.14629705222035,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_B,Arthrobacter,0.3077999082004048,0.002456956358795545,125.27691307927635,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_B,Bacillus,0.16210822829392013,0.0022145207358207873,73.2023980050187,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_B,Burkholderia,0.4369721958863235,0.0022879742938689013,190.98649711986738,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_B,Buttiauxella,0.4221493300796486,0.002260794341709216,186.7261087359646,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_B,Chromobacterium,0.26555176143880477,0.002261790015208107,117.40778748391963,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_B,Chryseobacterium,0.7174308914024468,0.0023218924221381915,308.9854140364422,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_B,Flavobacterium_A,0.4817370026260748,0.0025378472104274374,189.8211210851177,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_B,Flavobacterium_B,0.9093689001552394,0.0028468597596443598,319.4287660551432,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_B,Herbaspirillum,0.4516199769838609,0.002177501230133058,207.40285733673926,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_B,Pseudomonas,0.37836439963462976,0.002186287338945795,173.06252151516057,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_B,Serratia,0.24030796227095408,0.0021340413932930775,112.60698270717728,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_B,Yersinia,-0.172667981542042,0.00193521054079284,-89.22439078453,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Arthrobacter,Bacillus,-0.14569167990648468,0.0020557549803902654,-70.87015782339319,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Arthrobacter,Burkholderia,0.1291722876859187,0.0021346786220468967,60.511351147583156,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Arthrobacter,Buttiauxella,0.1143494218792438,0.002105520720753787,54.309331061014746,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Arthrobacter,Chromobacterium,-0.04224814676160005,0.0021065897851537748,-20.055231948500147,1.8169451890247466e-89,1.8169451890247465e-88,TRUE,TRUE
within-curve only (AR(1)-corrected),Arthrobacter,Chryseobacterium,0.40963098320204194,0.002170993060790821,188.68369070365748,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Arthrobacter,Flavobacterium_A,0.17393709442566996,0.002400561374656659,72.45684124637195,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Arthrobacter,Flavobacterium_B,0.6015689919548346,0.0027251856709408777,220.74422244673747,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Arthrobacter,Herbaspirillum,0.1438200687834561,0.00201582193093788,71.34562164255375,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Arthrobacter,Pseudomonas,0.07056449143422494,0.0020253095512671204,34.841336421919685,5.75952469044835e-266,9.791191973762195e-265,TRUE,TRUE
within-curve only (AR(1)-corrected),Arthrobacter,Serratia,-0.06749194592945074,0.0019687963628337492,-34.28081603742273,1.5158379943536571e-257,2.4253407909658514e-256,TRUE,TRUE
within-curve only (AR(1)-corrected),Arthrobacter,Yersinia,-0.4804678897424468,0.0017513041675319726,-274.3486246706914,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Bacillus,Burkholderia,0.2748639675924034,0.0018504919237268816,148.5356212951358,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Bacillus,Buttiauxella,0.2600411017857285,0.0018167787553463753,143.1330595541617,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Bacillus,Chromobacterium,0.10344353314488464,0.001818017619075405,56.89908175779575,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Bacillus,Chryseobacterium,0.5553226631085266,0.0018922680598573432,293.46934236705977,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Bacillus,Flavobacterium_A,0.31962877433215464,0.0021517812281567667,148.54148281884179,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Bacillus,Flavobacterium_B,0.7472606718613193,0.002508805389314974,297.8551764293514,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Bacillus,Herbaspirillum,0.2895117486899408,0.0017120179898600651,169.10555286489983,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Bacillus,Pseudomonas,0.21625617134070962,0.0017231791313755517,125.49836949805685,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Bacillus,Serratia,0.07819973397703395,0.001656389645784402,47.210953157100654,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Bacillus,Yersinia,-0.3347762098359621,0.0013908752020110333,-240.69464273424185,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Burkholderia,Buttiauxella,-0.014822865806674912,0.0019056257045659785,-7.778477048855162,7.340281502575632e-15,2.20208445077269e-14,TRUE,TRUE
within-curve only (AR(1)-corrected),Burkholderia,Chromobacterium,-0.17142043444751875,0.0019068068447782702,-89.89921287357876,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Burkholderia,Chryseobacterium,0.28045869551612324,0.001977726647032125,141.80862453210787,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Burkholderia,Flavobacterium_A,0.04476480673975125,0.0022273048138664138,20.098195119528032,7.652657527060773e-90,8.41792327976685e-89,TRUE,TRUE
within-curve only (AR(1)-corrected),Burkholderia,Flavobacterium_B,0.4723967042689159,0.002573874270721186,183.53526807529448,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Burkholderia,Herbaspirillum,0.014647781097537393,0.001806025990297248,8.110504043813103,5.041021030982329e-16,2.0164084123929317e-15,TRUE,TRUE
within-curve only (AR(1)-corrected),Burkholderia,Pseudomonas,-0.05860779625169377,0.0018166096440437771,-32.262184913448266,2.373742678527969e-228,3.5606140177919535e-227,TRUE,TRUE
within-curve only (AR(1)-corrected),Burkholderia,Serratia,-0.19666423361536944,0.0017533827131252417,-112.16275382619332,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Burkholderia,Yersinia,-0.6096401774283655,0.0015050774423908857,-405.0556870083201,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Buttiauxella,Chromobacterium,-0.15659756864084384,0.0018741069951827114,-83.55849961788161,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Buttiauxella,Chryseobacterium,0.29528156132279815,0.0019462187380868679,151.72064452172512,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Buttiauxella,Flavobacterium_A,0.05958767254642616,0.0021993752340089697,27.092999696014193,1.1906022156058052e-161,1.6668431018481273e-160,TRUE,TRUE
within-curve only (AR(1)-corrected),Buttiauxella,Flavobacterium_B,0.4872195700755908,0.0025497438003807414,191.08569653266204,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Buttiauxella,Herbaspirillum,0.029470646904212305,0.0017714667831287903,16.63629664687295,3.804305351053983e-62,3.423874815948585e-61,TRUE,TRUE
within-curve only (AR(1)-corrected),Buttiauxella,Pseudomonas,-0.043784930445018855,0.0017822556732782107,-24.567143256434463,2.8368723025515562e-133,3.687933993317023e-132,TRUE,TRUE
within-curve only (AR(1)-corrected),Buttiauxella,Serratia,-0.18184136780869453,0.0017177647175285512,-105.8592983970007,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Buttiauxella,Yersinia,-0.5948173116216906,0.0014634284381866438,-406.45466228518677,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Chromobacterium,Chryseobacterium,0.451879129963642,0.0019473752575893328,232.04522508056604,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Chromobacterium,Flavobacterium_A,0.21618524118727,0.002200398699636657,98.24821348193299,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Chromobacterium,Flavobacterium_B,0.6438171387164346,0.0025506266808317337,252.41527643178748,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Chromobacterium,Herbaspirillum,0.18606821554505615,0.0017727373130611724,104.96096301135138,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Chromobacterium,Pseudomonas,0.11281263819582499,0.001783518517516162,63.25285500984583,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Chromobacterium,Serratia,-0.02524379916785069,0.001719074937917665,-14.684525154225556,8.099963754636322e-49,6.479971003709058e-48,TRUE,TRUE
within-curve only (AR(1)-corrected),Chromobacterium,Yersinia,-0.43821974298084676,0.0014649661467365312,-299.1330167984141,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Chryseobacterium,Flavobacterium_A,-0.23569388877637198,0.00226213279549419,-104.19100472166659,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Chryseobacterium,Flavobacterium_B,0.19193800875279265,0.002604071199498657,73.7068974111557,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Chryseobacterium,Herbaspirillum,-0.26581091441858584,0.0018488071636076635,-143.77427762660582,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Chryseobacterium,Pseudomonas,-0.339066491767817,0.0018591472909403163,-182.3774229293713,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Chryseobacterium,Serratia,-0.4771229291314927,0.001797417310828037,-265.4491676792024,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Chryseobacterium,Yersinia,-0.8900988729444888,0.0015561542848226034,-571.9862623042915,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Flavobacterium_A,Flavobacterium_B,0.42763189752916464,0.0027983335854665265,152.8166262057251,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Flavobacterium_A,Herbaspirillum,-0.030117025642213857,0.0021136631642006214,-14.248734685975375,4.564771692866211e-46,3.1953401850063474e-45,TRUE,TRUE
within-curve only (AR(1)-corrected),Flavobacterium_A,Pseudomonas,-0.10337260299144502,0.002122713521156891,-48.6983297374515,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Flavobacterium_A,Serratia,-0.2414290403551207,0.0020688627389838753,-116.69649987204994,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Flavobacterium_A,Yersinia,-0.6544049841681168,0.0018630888872148098,-351.2473230122731,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Flavobacterium_B,Herbaspirillum,-0.4577489231713785,0.0024761894110319187,-184.8602215694872,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Flavobacterium_B,Pseudomonas,-0.5310045005206097,0.00248391922584256,-213.77687929465168,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Flavobacterium_B,Serratia,-0.6690609378842853,0.0024380596917146797,-274.4235262811539,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Flavobacterium_B,Yersinia,-1.0820368816972814,0.002266063156505426,-477.49634805674515,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Herbaspirillum,Pseudomonas,-0.07325557734923116,0.0016753375291740295,-43.72586184787935,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Herbaspirillum,Serratia,-0.21131201471290684,0.0016065603557017451,-131.53070406782558,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Herbaspirillum,Yersinia,-0.6242879585259029,0.0013311436231376286,-468.9861767540894,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Pseudomonas,Serratia,-0.13805643736367568,0.0016184489172402757,-85.3016958972575,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Pseudomonas,Yersinia,-0.5510323811766717,0.0013454679730947432,-409.54700683750127,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Serratia,Yersinia,-0.41297594381299607,0.001258794823026077,-328.0724835046775,0,0,TRUE,TRUE
joint posterior (includes replicate spread),Acinetobacter,Aeromonas_A,-0.3920265388957338,0.09462524367683371,-4.142938223066476,3.4288433198243486e-5,0.00216017129148934,TRUE,TRUE
joint posterior (includes replicate spread),Acinetobacter,Aeromonas_B,-0.8413858628915323,0.09412495448799817,-8.939030754047451,3.925985833591805e-19,3.965245691927723e-17,TRUE,TRUE
joint posterior (includes replicate spread),Acinetobacter,Arthrobacter,-0.5370668056233594,0.0945706523943894,-5.6790007473314414,1.3548388777196207e-8,1.1516130460616776e-6,TRUE,TRUE
joint posterior (includes replicate spread),Acinetobacter,Bacillus,-0.680587013883799,0.09452533302592633,-7.200048834497395,6.019099819714758e-13,5.898717823320462e-11,TRUE,TRUE
joint posterior (includes replicate spread),Acinetobacter,Burkholderia,-0.4073029762914624,0.09533690134693099,-4.272248945969902,1.93511364117703e-5,0.0012578238667650694,TRUE,TRUE
joint posterior (includes replicate spread),Acinetobacter,Buttiauxella,-0.42108166470132025,0.09453805435775352,-4.454097004237589,8.424700698240652e-6,5.728796474803643e-4,TRUE,TRUE
joint posterior (includes replicate spread),Acinetobacter,Chromobacterium,-0.5781910024257502,0.09423275051566694,-6.135775505455731,8.474476010369944e-10,7.457538889125551e-8,TRUE,TRUE
joint posterior (includes replicate spread),Acinetobacter,Chryseobacterium,-0.12718912665951443,0.09433017272962886,-1.3483398045296344,0.17754911519912436,1,FALSE,FALSE
joint posterior (includes replicate spread),Acinetobacter,Flavobacterium_A,-0.3617693207617938,0.09449901641853836,-3.8282866263867654,1.2903843101499043e-4,0.007871344291914417,TRUE,TRUE
joint posterior (includes replicate spread),Acinetobacter,Flavobacterium_B,0.06415758831892404,0.09448720445797831,0.679008217958836,0.4971326549315457,1,FALSE,FALSE
