Taxon,Replicate,r_per_minute,K,O2_ref,form,N0,R,R_C_fg_cell_h
Yersinia,R5,0.03601391928858849,6.020573164751897e-4,5.9,initial,497845344.3831012,7.135023370772317e-12,160.69522915122124
Acinetobacter,R1,0.01943645649413162,0.00156154306180892,6.193333333333333,none,297640298.4795758,3.249276642154764e-11,731.8031454888593
Acinetobacter,R2,0.01419457550388129,0.00217763559219332,5.876666666666667,none,274168664.2035019,4.6676517661006845e-11,1051.250053677767
Acinetobacter,R3,0.01494408464942784,0.00240637876372105,5.73,none,218735655.59405068,6.303750652208093e-11,1419.7327786175022
Acinetobacter,R4,0.01352010924335995,0.00308040752868794,6.14,none,246202461.66179678,7.682174296098352e-11,1730.181801433289
Acinetobacter,R5,0.01018491039079284,0.00306797048340179,5.656666666666666,none,203254364.90132105,8.53830931316119e-11,1923.0008093076885
Aeromonas_A,R1,0.02152182979085593,0.00113017978862392,6.29,none,899912446.0741537,7.899469444451578e-12,177.9121085642376
Aeromonas_A,R2,0.01990585449241123,0.00163003554620612,6.036666666666666,none,1159099216.058885,8.489334744545613e-12,191.1970740985137
Aeromonas_A,R3,0.02463468815971646,9.19021051773819e-4,6.013333333333334,none,1090182502.6525402,5.069224566731023e-12,114.16924108570468
Aeromonas_A,R4,0.0216194941726135,0.00128098865506093,6.086666666666667,none,816513234.9229974,9.549080913394909e-12,215.06471188971727
Aeromonas_A,R5,0.01739496989774508,0.00194308255260356,6.35,none,733114023.771841,1.6830361729477163e-11,379.05395599615633
Aeromonas_B,R1,0.03054020779769078,8.464285681270882e-4,5.986666666666667,none,1519663470.2572973,3.3344788459400706e-12,75.09924136243424
Aeromonas_B,R2,0.02863601071145552,8.511505376205517e-4,5.85,none,1594572941.3511503,3.1226107730519434e-12,70.32754171221993
Aeromonas_B,R3,0.03394930244807805,7.528468241546485e-4,5.726666666666667,none,1562112170.543814,2.7599188421222052e-12,62.15898221025653
Aeromonas_B,R4,0.03585987964659123,8.509386784386346e-4,6.21,none,1701943183.2523396,3.1048799073338022e-12,69.9282065760103
Aeromonas_B,R5,0.03578033974097163,5.710829700335417e-4,5.753333333333333,none,1549627258.6948385,2.1202716131621697e-12,47.7528264498234
Arthrobacter,R1,0.02511080779633006,0.00161027041793647,6.01,none,991302000.8086543,9.762640652297264e-12,219.8745112970981
Arthrobacter,R2,0.02587640886188693,0.00136451060286592,5.903333333333333,none,1012776049.1888922,7.95354603027622e-12,179.13002319453904
Arthrobacter,R3,0.02150094294318932,0.00199421650650208,6,none,908901582.60541606,1.3164570584983796e-11,296.49288823596544
Arthrobacter,R4,0.0243928703356261,0.00158975003481593,6,none,1459735893.382215,6.5344013613276505e-12,147.1680006579906
Arthrobacter,R5,0.02398857970330566,0.0020520520556274,7.003333333333333,none,1169586542.0120244,1.2287422988116779e-11,276.73774144059746
Bacillus,R1,0.0406522694099089,7.600458227107023e-4,6.03,none,87394382.94282846,5.2441314379937734e-11,1181.0849934697771
Bacillus,R2,0.02672952707892209,0.00146826563054103,5.926666666666667,none,81901021.72927925,1.0624923580445322e-10,2392.9487553858758
Bacillus,R3,0.0250824325016013,0.00124469599260939,5.93,none,49440250.921942964,1.492922689212681e-10,3362.3653516095087
Bacillus,R4,0.02733746457736678,0.00120446088806259,6.26,none,67418523.98446767,1.1183758874651291e-10,2518.809822678355
Bacillus,R5,0.02273270654790027,0.00174156996159367,5.783333333333333,none,130342479.70330417,7.7273960370737045e-11,1740.366656690273
Burkholderia,R1,0.0225655256203426,0.00150950058400556,6.293333333333333,none,1099171639.1838026,8.642681455156956e-12,194.6507537181515
Burkholderia,R2,0.01985526299343977,0.00188222696498641,5.613333333333333,none,1008780877.39722,1.0473599966245915e-11,235.88676016234706
Burkholderia,R3,0.02090622489729856,0.00141394129587253,6.6466666666666665,none,1178575678.5432868,7.974028864667638e-12,179.59133825899679
Burkholderia,R4,0.02075222150130871,0.00138522155435472,5.76,none,1041741044.6785153,7.659174219775025e-12,172.50017167395052
Burkholderia,R5,0.02204622666471412,0.00130514474048356,6.056666666666667,none,1267468250.9079924,6.236705841901139e-12,140.46329245654337
Buttiauxella,R1,0.02164977128433935,0.00125188704384754,5.86,none,1245494806.0537953,5.890075206487635e-12,132.6564659762291
Buttiauxella,R2,0.02444709978164981,0.00154856277118677,5.72,none,1189063004.496426,7.449377381764254e-12,167.77512044322228
Buttiauxella,R3,0.02162603229409613,0.00150030925686358,5.87,none,1039244062.3087202,8.474251292063713e-12,190.85736408958795
Buttiauxella,R4,0.01862887955508459,0.00214837784846517,5.8133333333333335,none,1076698797.8556468,1.1599563948572324e-11,261.24575770917346
Buttiauxella,R5,0.02164406271296873,0.0014995347819748,5.69,none,1035248890.5170481,8.24183728917129e-12,185.622928333464
Chromobacterium,R1,0.02522617126544078,0.00146207685325083,5.906666666666667,none,732115230.8239231,1.179595813555553e-11,265.66895399617005
Chromobacterium,R2,0.02625342021813681,0.00117880589961358,6.243333333333333,none,1044737423.5222695,7.044524299488323e-12,158.65700611504641
Chromobacterium,R3,0.02637388049003547,0.00115978394314153,5.693333333333333,none,762079019.2614642,8.664503832360442e-12,195.14223800952797
Chromobacterium,R4,0.02319349563680926,0.0016979271532427,5.916666666666667,none,687169548.1676112,1.461949094922483e-11,329.2606521491457
Chromobacterium,R5,0.02492601488710632,0.00121599323744506,5.633333333333333,none,798534961.8604727,8.5783285200781e-12,193.20139481465978
Chryseobacterium,R1,0.01546010521164195,8.384499700131765e-4,6.11,none,1454741928.6426246,3.521538230193556e-12,79.3121989177851
Chryseobacterium,R2,0.01681179114807214,7.875711363987316e-4,5.953333333333333,none,1342377722.0018454,3.492812359625361e-12,78.66523392360811
Chryseobacterium,R3,0.01668582715915156,9.312067517155902e-4,5.87,none,1170085938.4859834,4.671608685122229e-12,105.21412322708247
