Taxon,Replicate,r_per_minute,r_per_hour,K,O2_0,O2_ref,AICc,lnO2_change_per_min,pseudo_R2,fit_ok
Pseudomonas,R4,0.018978304749182287,1.1386982849509373,0.0016113170125325413,1.0007548279574148,6.193333333333333,-1008.8861259732993,-0.006751193901843631,0.9999070885130391,TRUE
Pseudomonas,R5,0.022807745189930145,1.3684647113958088,0.001544353355103999,1.0000237919445838,5.943333333333333,-944.4560314106986,-0.007398320956401927,0.9999064458667549,TRUE
Serratia,R1,0.020802126209858537,1.2481275725915122,0.002001155453630969,1.0011749722660988,5.77,-861.8753470219765,-0.0077884111882660844,0.9999079918430892,TRUE
Serratia,R2,0.027480400378994647,1.6488240227396789,9.504931007376753e-4,1.0016516074737474,5.706666666666667,-1022.8234025981794,-0.0068080592110344165,0.9999405051148444,TRUE
Serratia,R3,0.025570808948101282,1.534248536886077,0.0013392875271575953,1.0023454227297461,5.793333333333333,-947.3417584264104,-0.007477415004712849,0.9999159181350058,TRUE
Serratia,R4,0.027462764882431857,1.6477658929459114,0.0010504862607491861,1.0011009098414902,5.876666666666667,-992.376596344356,-0.007148916712577507,0.9999358979806406,TRUE
Serratia,R5,0.02838760451109891,1.7032562706659347,8.839146321864306e-4,0.9999021397671067,5.62,-1016.1379758355195,-0.006948554732586186,0.9999300016148518,TRUE
Yersinia,R1,0.046122786156019675,2.7673671693611803,4.134192757927749e-4,1.0022017418507847,6.1866666666666665,-879.2509676656338,-0.007654911963043547,0.9999212144154896,TRUE
Yersinia,R2,0.038299708342663295,2.297982500559798,5.077717590024389e-4,1.0015824517470031,6.096666666666667,-986.9099048779009,-0.007090475160384407,0.9999337798413444,TRUE
Yersinia,R3,0.03861824319280047,2.317094591568028,4.525884638453334e-4,1.0017259917588839,6.126666666666667,-1005.7937707368156,-0.006797888486330592,0.9998991311933122,TRUE
Yersinia,R4,0.036684647135417275,2.2010788281250364,6.81385764749663e-4,1.0007927112309545,6.25,-931.9493369103936,-0.007333622114362235,0.9999243700399918,TRUE
Yersinia,R5,0.03602779818579282,2.161667891147569,5.193274738120824e-4,1.0009690185484186,5.91,-1000.5703469787561,-0.006881854802700854,0.9999223960523806,TRUE
