Taxon,Replicate,r_per_minute,K,O2_0,O2_ref,T_end_min,fit_start_min,C_tot_mg_per_L,pseudo_R2,AIC,fit_ok
Aeromonas_B,R3,0.03394930244807805,7.528468241546485e-4,1.0005807440957342,5.726666666666667,88.00000000000001,50.05,2.3921296554849687,0.9998450539339537,-905.3031975773488,TRUE
Aeromonas_B,R4,0.03585987964659123,8.509386784386346e-4,1.0000774718055228,6.21,83.00000000000001,57.05,2.7433334349545913,0.99988867409557,-872.1296742211041,TRUE
Aeromonas_B,R5,0.03578033974097163,5.710829700335417e-4,1.0014667444071719,5.753333333333333,83.00000000000001,53.05,1.6976578572542815,0.9997713796818183,-879.4298586656204,TRUE
Arthrobacter,R1,0.025110807796330067,0.0016102704179364775,1.0018617114863568,6.01,97.00000000000001,50.05,4.01755853068185,0.9999452054488813,-1004.0639997579419,TRUE
Arthrobacter,R2,0.025876408861886933,0.0013645106028659204,1.0009458266947018,5.903333333333333,106.00000000000001,54.05,4.52370399562962,0.9999625004482394,-1110.778214774308,TRUE
Arthrobacter,R3,0.021500942943189324,0.0019942165065020873,1.0027709590379374,6,73.00000000000001,57.05,2.117250943202553,0.9998581125715101,-776.3167635000449,TRUE
Arthrobacter,R4,0.0243928703356261,0.0015897500348159303,1.0014040915828974,6,97.00000000000001,57.05,3.775786264993357,0.9999498609272849,-1024.1807583456746,TRUE
Arthrobacter,R5,0.023988579703305667,0.0020520520556274085,1.0016190196011714,7.003333333333333,75.00000000000001,68.05,3.0220664498693717,0.9999164977569786,-808.0957732059575,TRUE
Bacillus,R1,0.0406522694099089,7.600458227107023e-4,1.0025122136365723,6.03,84.01000000000002,54.07,3.3170992051703916,0.99994979795952,-915.7600626028093,TRUE
Bacillus,R2,0.026729527078922094,0.0014682656305410372,1.0008726486068946,5.926666666666667,90.01000000000002,59.07,3.284416231748874,0.9998868676988462,-899.5546078997868,TRUE
Bacillus,R3,0.025082432501601307,0.0012446959926093967,1.0016379592267568,5.93,106.01000000000002,58.07,3.9084675955524317,0.9999496855957795,-1110.9551506272028,TRUE
