Taxon,log_R,mu_tax_collapsed
Arthrobacter,2.222071979682245,1.9314909512992304
Arthrobacter,2.226483744388127,1.9324237338913377
Arthrobacter,2.2308955090940095,1.933356516483445
Arthrobacter,2.235307273799892,1.9342892990755522
Arthrobacter,2.239719038505774,1.9352220816676593
Arthrobacter,2.2441308032116565,1.9361548642597666
Arthrobacter,2.248542567917539,1.9370876468518738
Arthrobacter,2.252954332623421,1.938020429443981
Arthrobacter,2.2573660973293035,1.9389532120360882
Arthrobacter,2.261777862035186,1.9398859946281954
Arthrobacter,2.266189626741068,1.9408187772203025
Arthrobacter,2.2706013914469505,1.9417515598124098
Arthrobacter,2.275013156152833,1.942684342404517
Arthrobacter,2.279424920858715,1.943617124996624
Arthrobacter,2.2838366855645975,1.9445499075887314
Arthrobacter,2.28824845027048,1.9454826901808386
Arthrobacter,2.292660214976362,1.9464154727729457
Arthrobacter,2.2970719796822445,1.947348255365053
Arthrobacter,2.301483744388127,1.9482810379571602
Arthrobacter,2.305895509094009,1.9492138205492673
Arthrobacter,2.3103072737998915,1.9501466031413746
Arthrobacter,2.314719038505774,1.9510793857334818
Arthrobacter,2.319130803211656,1.9520121683255889
Arthrobacter,2.3235425679175385,1.9529449509176962
Arthrobacter,2.327954332623421,1.9538777335098034
Arthrobacter,2.3323660973293032,1.9548105161019105
Arthrobacter,2.336777862035186,1.955743298694018
Arthrobacter,2.341189626741068,1.956676081286125
Arthrobacter,2.3456013914469507,1.9576088638782323
Arthrobacter,2.3500131561528326,1.9585416464703393
Arthrobacter,2.3544249208587154,1.9594744290624466
Arthrobacter,2.3588366855645977,1.960407211654554
Arthrobacter,2.36324845027048,1.9613399942466612
Arthrobacter,2.3676602149763624,1.9622727768387682
Arthrobacter,2.3720719796822447,1.9632055594308755
Arthrobacter,2.376483744388127,1.9641383420229828
Arthrobacter,2.3808955090940094,1.9650711246150898
Arthrobacter,2.3853072737998917,1.966003907207197
Arthrobacter,2.389719038505774,1.9669366897993044
Arthrobacter,2.3941308032116564,1.9678694723914114
Arthrobacter,2.3985425679175387,1.9688022549835187
Arthrobacter,2.402954332623421,1.969735037575626
Arthrobacter,2.4073660973293034,1.970667820167733
Arthrobacter,2.4117778620351857,1.9716006027598403
Arthrobacter,2.416189626741068,1.9725333853519476
Arthrobacter,2.4206013914469504,1.9734661679440546
Arthrobacter,2.4250131561528327,1.9743989505361619
Arthrobacter,2.429424920858715,1.9753317331282692
Arthrobacter,2.4338366855645974,1.9762645157203762
Arthrobacter,2.4382484502704798,1.9771972983124835
Bacillus,3.0149301020137314,2.1408538430145607
Bacillus,3.019094938859795,2.141960124113474
Bacillus,3.0232597757058595,2.143066405212387
Bacillus,3.0274246125519233,2.1441726863112995
Bacillus,3.0315894493979876,2.1452789674102126
Bacillus,3.0357542862440514,2.1463852485091257
Bacillus,3.0399191230901152,2.147491529608039
Bacillus,3.0440839599361795,2.148597810706952
Bacillus,3.0482487967822434,2.1497040918058645
Bacillus,3.0524136336283076,2.1508103729047776
Bacillus,3.0565784704743715,2.1519166540036907
Bacillus,3.0607433073204358,2.153022935102604
Bacillus,3.0649081441664996,2.154129216201517
Bacillus,3.0690729810125634,2.1552354973004295
Bacillus,3.0732378178586277,2.1563417783993426
Bacillus,3.0774026547046915,2.1574480594982557
Bacillus,3.081567491550756,2.1585543405971688
Bacillus,3.0857323283968197,2.159660621696082
Bacillus,3.0898971652428835,2.1607669027949945
Bacillus,3.0940620020889478,2.1618731838939076
Bacillus,3.0982268389350116,2.1629794649928207
Bacillus,3.102391675781076,2.1640857460917338
Bacillus,3.1065565126271397,2.165192027190647
Bacillus,3.1107213494732036,2.1662983082895595
Bacillus,3.114886186319268,2.1674045893884726
Bacillus,3.1190510231653317,2.1685108704873857
Bacillus,3.123215860011396,2.1696171515862988
Bacillus,3.12738069685746,2.170723432685212
Bacillus,3.131545533703524,2.171829713784125
Bacillus,3.135710370549588,2.1729359948830376
Bacillus,3.1398752073956517,2.1740422759819507
Bacillus,3.144040044241716,2.1751485570808637
Bacillus,3.14820488108778,2.176254838179777
Bacillus,3.152369717933844,2.17736111927869
Bacillus,3.156534554779908,2.1784674003776026
Bacillus,3.160699391625972,2.1795736814765156
Bacillus,3.164864228472036,2.1806799625754287
Bacillus,3.1690290653181,2.181786243674342
Bacillus,3.173193902164164,2.182892524773255
Bacillus,3.177358739010228,2.1839988058721675
Bacillus,3.181523575856292,2.1851050869710806
Bacillus,3.185688412702356,2.1862113680699937
Bacillus,3.18985324954842,2.187317649168907
Bacillus,3.1940180863944843,2.18842393026782
Bacillus,3.198182923240548,2.1895302113667325
Bacillus,3.2023477600866124,2.1906364924656456
Bacillus,3.206512596932676,2.1917427735645587
Bacillus,3.21067743377874,2.192849054663472
Bacillus,3.2148422706248043,2.193955335762385
Bacillus,3.219007107470868,2.195061616861298
Bacillus,3.2231719443169324,2.1961678979602106
Bacillus,3.2273367811629963,2.1972741790591237
Bacillus,3.23150161800906,2.198380460158037
Bacillus,3.2356664548551244,2.19948674125695
Bacillus,3.239831291701188,2.2005930223558625
Bacillus,3.2439961285472525,2.2016993034547756
Bacillus,3.2481609653933163,2.2028055845536887
Bacillus,3.2523258022393806,2.2039118656526018
Bacillus,3.2564906390854444,2.205018146751515
Bacillus,3.2606554759315083,2.206124427850428
Bacillus,3.2648203127775726,2.207230708949341
Bacillus,3.2689851496236364,2.2083369900482537
Bacillus,3.2731499864697007,2.2094432711471668
Bacillus,3.2773148233157645,2.21054955224608
